,index,price,area,bedroom,bathroom,facade,nearhospital,nearschool,nearsupermarket,nearuniversity,nearbuildings,urgent,floor,district
228,241,13.0,240.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,THU DUC
229,242,33.6,210.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NHA BE
230,243,4.5,45.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,GO VAP
231,244,4.8,72.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,BINH TAN
232,245,4.8,75.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,GO VAP
233,246,4.8,75.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,GO VAP
234,247,4.6,35.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,GO VAP
235,249,4.9,58.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,GO VAP
236,250,6.1,54.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,BINH TAN
237,251,2.9,80.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GO VAP
238,252,10.5,150.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,HOC MON
239,253,3.8,60.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,12
240,254,5.4,76.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,TAN PHU
241,255,16.5,100.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TAN PHU
242,256,4.9,42.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GO VAP
243,257,8.8,75.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TAN BINH
244,258,8.7,54.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2
245,259,22.0,147.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,THU DUC
246,260,34.0,147.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,THU DUC
247,261,27.0,147.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,THU DUC
248,262,4.15,58.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,THU DUC
249,263,9.6,52.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TAN BINH
250,264,5.4,40.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,PHU NHUAN
251,265,6.5,55.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,TAN BINH
252,266,6.5,55.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TAN BINH
253,267,10.8,80.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,8
254,268,10.3,66.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5
255,269,22.5,80.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2
256,270,3.7,39.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,TAN PHU
258,272,3.2,44.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,BINH TAN
259,273,18.8,240.0,8.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,BINH TAN
260,274,4.75,40.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,BINH THANH
261,275,5.6,62.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,THU DUC
263,277,5.3,42.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,BINH THANH
265,279,1.99,14.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,PHU NHUAN
266,281,4.5,35.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,TAN BINH
269,284,10.0,64.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,TAN PHU
270,285,2.6,60.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,THU DUC
271,286,10.5,60.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TAN PHU
272,287,20.0,120.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,THU DUC
