price,area,bedroom,bathroom,facade,urgent,floor,district,mean_land_price_of_district,facility
4.0,70.0,3.0,2.0,0.0,1.0,2.0,2,0.09464763979473478,0.0
3.1,31.0,2.0,2.0,0.0,1.0,2.0,GO VAP,0.10348560001584498,0.0
3.4,45.0,3.0,2.0,0.0,1.0,1.0,THU DUC,0.07739925980445196,0.0
4.9,55.0,3.0,3.0,1.0,0.0,3.0,TAN PHU,0.08977856929214675,1.0
4.85,47.0,3.0,3.0,1.0,0.0,4.0,4,0.12601125749710232,3.0
3.6,102.0,3.0,2.0,0.0,1.0,2.0,THU DUC,0.07739925980445196,0.0
4.9,95.0,3.0,2.0,0.0,0.0,2.0,THU DUC,0.07739925980445196,0.0
5.0,35.0,3.0,2.0,0.0,1.0,3.0,TAN BINH,0.10818958685246544,0.0
5.1,66.0,4.0,3.0,0.0,0.0,3.0,THU DUC,0.07739925980445196,0.0
3.8,25.0,2.0,1.0,0.0,0.0,1.0,10,0.1246569785410537,0.0
6.25,63.0,1.0,1.0,1.0,0.0,1.0,GO VAP,0.10348560001584498,0.0
3.6,44.0,3.0,2.0,0.0,0.0,3.0,THU DUC,0.07739925980445196,0.0
4.1,62.0,4.0,2.0,0.0,1.0,2.0,THU DUC,0.07739925980445196,0.0
3.7,50.0,3.0,2.0,1.0,0.0,2.0,9,0.0778805983721728,1.0
4.8,50.0,3.0,2.0,0.0,0.0,2.0,GO VAP,0.10348560001584498,2.0
5.38,68.0,4.0,4.0,1.0,1.0,4.0,TAN PHU,0.08977856929214675,0.0
4.5,70.0,1.0,2.0,1.0,0.0,1.0,GO VAP,0.10348560001584498,1.0
4.2,56.0,2.0,2.0,1.0,0.0,2.0,TAN PHU,0.08977856929214675,3.0
4.5,48.0,2.0,2.0,0.0,0.0,1.0,TAN PHU,0.08977856929214675,0.0
5.0,77.0,3.0,4.0,1.0,0.0,2.0,TAN BINH,0.10818958685246544,0.0
4.9,50.0,4.0,3.0,1.0,1.0,3.0,THU DUC,0.07739925980445196,1.0
4.6,53.0,4.0,3.0,0.0,1.0,3.0,THU DUC,0.07739925980445196,3.0
3.3,48.0,2.0,2.0,1.0,0.0,2.0,TAN PHU,0.08977856929214675,2.0
8.7,41.0,3.0,3.0,1.0,0.0,4.0,10,0.1246569785410537,0.0
3.84,24.0,3.0,2.0,1.0,1.0,2.0,10,0.1246569785410537,0.0
4.9,50.0,4.0,3.0,1.0,0.0,3.0,THU DUC,0.07739925980445196,0.0
2.6,33.0,3.0,2.0,0.0,0.0,3.0,BINH TAN,0.0799054007556501,1.0
4.0,44.0,4.0,3.0,0.0,0.0,3.0,THU DUC,0.07739925980445196,0.0
3.9,52.0,2.0,1.0,0.0,0.0,1.0,TAN BINH,0.10818958685246544,0.0
4.35,55.0,2.0,2.0,1.0,1.0,2.0,GO VAP,0.10348560001584498,1.0
4.5,34.0,3.0,1.0,1.0,1.0,4.0,4,0.12601125749710232,1.0
3.3,62.0,2.0,2.0,0.0,1.0,2.0,4,0.12601125749710232,1.0
7.5,46.0,2.0,1.0,0.0,1.0,2.0,2,0.09464763979473478,0.0
6.99,48.0,4.0,5.0,1.0,0.0,3.0,GO VAP,0.10348560001584498,1.0
6.85,72.0,3.0,3.0,1.0,0.0,1.0,TAN PHU,0.08977856929214675,0.0
9.0,73.0,5.0,6.0,1.0,0.0,4.0,GO VAP,0.10348560001584498,0.0
4.9,60.0,3.0,3.0,1.0,0.0,2.0,BINH THANH,0.11057247745426507,3.0
3.3,56.0,2.0,2.0,0.0,1.0,2.0,THU DUC,0.07739925980445196,0.0
7.85,60.0,1.0,1.0,1.0,1.0,1.0,7,0.09975934773649435,3.0
3.3,42.0,3.0,1.0,0.0,0.0,2.0,4,0.12601125749710232,0.0
1.62,12.0,2.0,1.0,0.0,0.0,3.0,6,0.0926808936585497,0.0
5.1,77.0,3.0,4.0,1.0,0.0,2.0,TAN BINH,0.10818958685246544,0.0
2.7,60.0,1.0,1.0,1.0,0.0,2.0,BINH TAN,0.0799054007556501,1.0
8.79,81.0,5.0,5.0,1.0,0.0,4.0,GO VAP,0.10348560001584498,3.0
4.99,55.0,1.0,1.0,1.0,0.0,1.0,TAN BINH,0.10818958685246544,1.0
5.9,28.0,3.0,5.0,1.0,0.0,4.0,4,0.12601125749710232,1.0
4.9,65.0,2.0,2.0,0.0,1.0,2.0,6,0.0926808936585497,1.0
7.5,67.0,5.0,6.0,1.0,0.0,3.0,TAN PHU,0.08977856929214675,1.0
4.2,60.0,4.0,4.0,1.0,0.0,4.0,PHU NHUAN,0.12307967709930681,2.0
3.5,56.0,2.0,2.0,0.0,1.0,1.0,7,0.09975934773649435,2.0
3.85,52.0,3.0,1.0,1.0,1.0,1.0,TAN PHU,0.08977856929214675,2.0
1.5,12.0,1.0,1.0,1.0,1.0,1.0,7,0.09975934773649435,2.0
3.58,32.0,3.0,3.0,0.0,0.0,2.0,8,0.10265030798817504,0.0
4.9,50.0,2.0,2.0,1.0,1.0,2.0,BINH THANH,0.11057247745426507,0.0
4.2,45.0,2.0,2.0,1.0,0.0,2.0,BINH THANH,0.11057247745426507,2.0
2.1,40.0,3.0,1.0,0.0,0.0,1.0,THU DUC,0.07739925980445196,0.0
7.5,46.0,2.0,1.0,0.0,0.0,1.0,2,0.09464763979473478,0.0
2.95,42.0,2.0,2.0,1.0,1.0,2.0,GO VAP,0.10348560001584498,1.0
6.6,42.0,4.0,5.0,0.0,0.0,4.0,GO VAP,0.10348560001584498,0.0
4.3,75.0,2.0,2.0,1.0,1.0,2.0,BINH TAN,0.0799054007556501,1.0
4.9,60.0,3.0,3.0,1.0,0.0,3.0,BINH THANH,0.11057247745426507,1.0
3.59,60.0,2.0,2.0,1.0,1.0,2.0,10,0.1246569785410537,1.0
3.8,56.0,3.0,3.0,0.0,1.0,3.0,BINH TAN,0.0799054007556501,2.0
8.7,45.0,3.0,3.0,1.0,0.0,4.0,1,0.1352847565715967,0.0
8.7,45.0,3.0,3.0,1.0,1.0,4.0,1,0.1352847565715967,1.0
2.98,42.0,2.0,2.0,1.0,0.0,1.0,8,0.10265030798817504,0.0
3.2,30.0,3.0,3.0,0.0,0.0,3.0,GO VAP,0.10348560001584498,0.0
8.4,90.0,2.0,1.0,1.0,0.0,1.0,8,0.10265030798817504,0.0
5.0,48.0,3.0,3.0,1.0,0.0,3.0,TAN PHU,0.08977856929214675,0.0
2.0,45.0,3.0,3.0,1.0,1.0,3.0,GO VAP,0.10348560001584498,3.0
7.9,40.0,2.0,2.0,1.0,0.0,2.0,11,0.11410860554881458,1.0
5.6,40.0,3.0,2.0,1.0,0.0,1.0,11,0.11410860554881458,2.0
5.8,60.6,3.0,3.0,0.0,0.0,3.0,THU DUC,0.07739925980445196,0.0
5.8,60.6,3.0,3.0,0.0,1.0,3.0,THU DUC,0.07739925980445196,0.0
